123.33,3627.21
3213,3234
2143.455,473.43
9875.54,6563.22
435,763
3244.4,8665
984.22,967.53
874.96,979
1023.3,444.677
432.47,785.89
3243,5784
5437.543,5587.6
877.35,673.67
2455.89,2598
2311.6,2487.95
788.67,798
1256.56,7266
1111,678
667.7,1109
889.74,953.2
679,750
874.8,1290.5
2415,2563
3345.6,5678
3258.25,5321.8
1003,989
2569.9,2777
3105,3222
678.9,778.43
3545.78,3692.03
2213.5,2198
2480.8,2677
893.24,788.97
456.88,777.24
969.58,901.76
1024.33,1566
989,996.7
1001.1,1332
2789.3,2561.4
2666,3102.5
1782.45,2109
1657.89,3621.3
2017.2,1023
2101.33,1876.56
3211.4,1767
1555.23,1333.3
3627,3652.89
2172,3726.77
2105.4,542.1
1233.65,444
3287,3652.8
